,MethodOfMoments,nMonte,N,CV,mean_ln_ratio,se_mean_ln_ratio
0,Higgins1,100000.0,100.0,0.15,0.0010096496573302903,0.0003454112712777856
1,Higgins2,100000.0,100.0,0.15,0.0010134450594005229,0.00034651736693129217
2,Orignal_MethodOfMoments,100000.0,100.0,0.15,0.0010097218110039483,0.00034636704119437635
3,No_MethodOfMoments,100000.0,100.0,0.15,0.0010517031552647322,0.00033731082565475426
4,Higgins1,100000.0,100.0,0.3,0.0010470455891433924,0.0004018153567364809
5,Higgins2,100000.0,100.0,0.3,0.0010526812738225954,0.00041358577108036395
6,Orignal_MethodOfMoments,100000.0,100.0,0.3,0.0010458082456424424,0.0004186600171088857
7,Higgins1,100000.0,100.0,0.5,0.0011754298142624133,0.00048799901507430885
8,Higgins2,100000.0,100.0,0.5,0.0012165879648682084,0.0005626724558714603
9,Orignal_MethodOfMoments,100000.0,100.0,0.5,0.001235995799780175,0.0005639383238990779
10,No_MethodOfMoments,100000.0,100.0,0.5,0.0013195606315461413,0.0004775649198697915
11,Higgins1,100000.0,15.0,0.15,0.0014813889907660978,0.000923561951552417
12,Higgins2,100000.0,15.0,0.15,0.0016031673088183769,0.0009274669139173093
13,Orignal_MethodOfMoments,100000.0,15.0,0.15,0.001479956532572234,0.0009260691018799675
14,No_MethodOfMoments,100000.0,15.0,0.15,0.0014432277673478754,0.0009183138350158862
15,Higgins1,100000.0,15.0,0.3,0.0014772923006856626,0.001024336330881834
16,Higgins2,100000.0,15.0,0.3,0.001687833528966685,0.001044254538167307
17,Orignal_MethodOfMoments,100000.0,15.0,0.3,0.001457689820044892,0.0010650002143641037
18,No_MethodOfMoments,100000.0,15.0,0.3,0.0014093084303012135,0.0010400671173130538
19,Higgins1,100000.0,15.0,0.5,-0.002504594333011474,0.0036863271937381398
20,Higgins2,100000.0,15.0,0.5,0.018896753856904574,0.014742985244881851
21,Orignal_MethodOfMoments,100000.0,15.0,0.5,0.001585142710862104,0.0013258553450324793
22,Orignal_MethodOfMoments,100000.0,15.0,0.5,0.001585142710862104,0.0013258553450324793
23,No_MethodOfMoments,100000.0,15.0,0.5,0.0016167420865005851,0.0012831070856761198
24,Higgins1,100000.0,25.0,0.15,0.0014104223760501222,0.0007023132574215099
25,Higgins2,100000.0,25.0,0.15,0.0013275247108087038,0.000704150219132244
26,Orignal_MethodOfMoments,100000.0,25.0,0.15,0.0014083335850209023,0.0007042621606868201
27,No_MethodOfMoments,100000.0,25.0,0.15,0.001410022148108336,0.0006933756902110116
28,Higgins1,100000.0,25.0,0.3,0.001600130649984121,0.0007927495739456988
29,Higgins2,100000.0,25.0,0.3,0.0014188837831559534,0.0008101229594378904
30,Orignal_MethodOfMoments,100000.0,25.0,0.3,0.001567423801259885,0.0008260020382377426
31,No_MethodOfMoments,100000.0,25.0,0.3,0.0015258442255029721,0.0007884771686642605
32,Higgins1,100000.0,25.0,0.5,-0.0013931963273350124,0.003710489595570844
33,Higgins2,100000.0,25.0,0.5,0.0049694608680322825,0.014450159645058353
34,No_MethodOfMoments,100000.0,25.0,0.5,0.0018625181968646273,0.0009762522670797184
35,Orignal_MethodOfMoments,100000.0,25.0,0.5,0.0019845219230955062,0.0010558216988562487
36,Higgins1,100000.0,2.0,0.15,-3.3387831127666203,0.004572073228769193
37,Higgins2,100000.0,2.0,0.15,-3.343384385818916,0.004547040944610698
38,Orignal_MethodOfMoments,100000.0,2.0,0.15,-3.3387619958648935,0.004572038149817859
39,No_MethodOfMoments,100000.0,2.0,0.15,-3.338314496425985,0.004577870118159962
40,Higgins1,100000.0,2.0,0.3,-3.489538329668402,0.004945397281970708
41,Higgins2,100000.0,2.0,0.3,-3.4924105481015464,0.004751723354858461
42,Orignal_MethodOfMoments,100000.0,2.0,0.3,-3.489514287776354,0.004945354697966185
43,Higgins1,100000.0,2.0,0.5,-3.5130799487364577,0.005618607713333839
44,Higgins2,100000.0,2.0,0.5,-3.582026529937848,0.005228897860544215
45,Orignal_MethodOfMoments,100000.0,2.0,0.5,-3.5130550547563946,0.0056185117655679654
46,No_MethodOfMoments,100000.0,2.0,0.5,-3.514500909630369,0.00562084295861848
47,Higgins1,100000.0,50.0,0.15,0.0004818357107438455,0.0004899230560216497
48,Higgins2,100000.0,50.0,0.15,0.00045219090806108156,0.000491332678600797
49,Orignal_MethodOfMoments,100000.0,50.0,0.15,0.00047967479712031407,0.0004912832353293591
50,No_MethodOfMoments,100000.0,50.0,0.15,0.0004918846663654063,0.00048002976681621256
51,Higgins1,100000.0,50.0,0.3,0.00047647924530793686,0.0005637646692751669
52,Higgins2,100000.0,50.0,0.3,0.00038191165013461484,0.0005788488156467198
53,Orignal_MethodOfMoments,100000.0,50.0,0.3,0.00043958764804845216,0.0005876179626377517
54,No_MethodOfMoments,100000.0,50.0,0.3,0.0005003515203920384,0.0005471057829459015
55,Higgins1,100000.0,50.0,0.5,0.0009695013528462284,0.0008625338409103591
56,Higgins2,100000.0,50.0,0.5,0.00541254914747182,0.005370756435441159
57,Orignal_MethodOfMoments,100000.0,50.0,0.5,0.00042253247293308987,0.0007745114766136894
58,No_MethodOfMoments,100000.0,50.0,0.5,0.0006184220595033727,0.0006790353847011512
