,MethodOfMoments,nMonte,N,CV,mean_intervals_include_zero,mean_ln_ratio,se_mean_ln_ratio,mean_se_ln_ratio,se_mean_se_ln_ratio,%coverage
0,Higgins1,100000,100,0.15,0.94463,0.0010096497,0.0003454113,0.1065855914,0.0000016732,
1,Higgins2,100000,100,0.15,0.94363,0.001013445,0.000346517,0.106585591,1.67E-06,
2,Orignal_MethodOfMoments,100000,100,0.15,0.94404,0.001009722,0.000346367,0.106593162,1.68E-06,
3,No_MethodOfMoments,100000,100,0.15,0.94997,0.001051703,0.000337311,0.106597357,1.63E-06,
4,Higgins1,100000,100,0.3,0.93860,0.0010470456,0.0004018154,0.1213515912,0.0000067382,
5,Higgins2,100000,100,0.3,0.9315,0.001052681,0.000413586,0.121351591,6.74E-06,
6,Orignal_MethodOfMoments,100000,100,0.3,0.92928,0.001045808,0.00041866,0.121789724,7.19E-06,
7,Higgins1,100000,100,0.5,0.94471,0.0011754298,0.0004879990,0.1459076457,0.0000174329,
8,Higgins2,100000,100,0.5,0.92212,0.001216588,0.000562672,0.145907646,1.74E-05,
9,Orignal_MethodOfMoments,100000,100,0.5,0.90717,0.001235996,0.000563938,0.15119868,1.96E-05,
10,No_MethodOfMoments,100000,100,0.5,0.95126,0.001319561,0.000477565,0.151705436,1.48E-05,
11,Higgins1,100000,15,0.15,0.94604,0.001481,0.000924,0.288675,0.000013,94.604
12,Higgins2,100000,15,0.15,0.94515,0.001603,0.000927,0.288675,0.000013,94.515
13,Orignal_MethodOfMoments,100000,15,0.15,0.94533,0.001480,0.000926,0.288705,0.000013,94.533
14,No_MethodOfMoments,100000,15,0.15,0.94765,0.001443,0.000918,0.288801,0.000013,94.765
15,Higgins1,100000,15,0.3,0.95329,0.001477,0.001024,0.328337,0.000046,95.329
16,Higgins2,100000,15,0.3,0.94966,0.001688,0.001044,0.328337,0.000046,94.966
17,Orignal_MethodOfMoments,100000,15,0.3,0.94609,0.001458,0.001065,0.329853,0.000050,94.609
18,No_MethodOfMoments,100000,15,0.3,0.9511,0.001409,0.001040,0.331239,0.000047,95.110
19,Higgins1,100000,15,0.5,0.94480,-0.002505,0.003686,0.410061,0.001313,94.480
20,Higgins2,100000,15,0.5,0.93285,0.018897,0.014743,0.404072,0.000382,93.285
21,Orignal_MethodOfMoments,100000,15,0.5,0.94768,0.001585,0.001326,0.406935,0.000121,94.768
22,Orignal_MethodOfMoments,100000,15,0.5,0.94768,0.001585,0.001326,0.406935,0.000121,94.768
23,No_MethodOfMoments,100000,15,0.5,0.95527,0.001617,0.001283,0.415640,0.000112,95.527
24,Higgins1,100000,25,0.15,0.94589,0.001410,0.000702,0.218569,0.000007,94.589
25,Higgins2,100000,25,0.15,0.94502,0.001328,0.000704,0.218569,0.000007,94.502
26,Orignal_MethodOfMoments,100000,25,0.15,0.94542,0.001408,0.000704,0.218589,0.000007,94.542
27,No_MethodOfMoments,100000,25,0.15,0.94905,0.001410,0.000693,0.218633,0.000007,94.905
28,Higgins1,100000,25,0.3,0.94913,0.001600,0.000793,0.248599,0.000027,94.913
29,Higgins2,100000,25,0.3,0.94306,0.001419,0.000810,0.248599,0.000027,94.306
30,Orignal_MethodOfMoments,100000,25,0.3,0.94096,0.001567,0.000826,0.249647,0.000029,94.096
31,No_MethodOfMoments,100000,25,0.3,0.95112,0.001526,0.000788,0.250282,0.000027,95.112
32,Higgins1,100000,25,0.5,0.94376,-0.001393,0.003710,0.304132,0.001041,94.376
33,Higgins2,100000,25,0.5,0.92945,0.004969,0.014450,0.301995,0.000199,92.945
34,No_MethodOfMoments,100000,25,0.5,0.95405,0.001863,0.000976,0.312886,0.000063,95.405
35,Orignal_MethodOfMoments,100000,25,0.5,0.93561,0.001985,0.001056,0.308770,0.000074,93.561
36,Higgins1,100000,2,0.15,0.00153,-3.3387831128,0.0045720732,1.3288230314,0.0000459337,
37,Higgins2,100000,2,0.15,0.00154,-3.343384386,0.004547041,1.328823031,4.59E-05,
38,Orignal_MethodOfMoments,100000,2,0.15,0.00153,-3.338761996,0.004572038,1.32882189,4.59E-05,
39,No_MethodOfMoments,100000,2,0.15,0.00153,-3.338314496,0.00457787,1.328782882,4.59E-05,
40,Higgins1,100000,2,0.3,0.00034,-3.4895383297,0.0049453973,1.3286374076,0.0000488511,
41,Higgins2,100000,2,0.3,0.00035,-3.492410548,0.004751723,1.328637408,4.89E-05,
